Ejecucion,Algoritmo,Coste_Minimo,Coste_Medio,Coste_Maximo,Desviacion_Estandar,Tiempo_ms,Iteraciones
1,GA_sin_2opt,2322.00,2322.00,2322.00,0.00,10176,1000
2,GA_sin_2opt,2422.00,2422.00,2422.00,0.00,10999,1000
3,GA_sin_2opt,2402.00,2402.00,2402.00,0.00,13136,1000
4,GA_sin_2opt,2201.00,2201.00,2201.00,0.00,12184,1000
5,GA_sin_2opt,2330.00,2330.00,2330.00,0.00,8795,1000
6,GA_sin_2opt,2409.00,2409.00,2409.00,0.00,10898,1000
7,GA_sin_2opt,2317.00,2317.00,2317.00,0.00,9525,1000
8,GA_sin_2opt,2401.00,2401.00,2401.00,0.00,11930,1000
9,GA_sin_2opt,2238.00,2238.00,2238.00,0.00,11413,1000
10,GA_sin_2opt,2280.00,2280.00,2280.00,0.00,10681,1000
1,GA_con_2opt,2085.00,2085.00,2085.00,0.00,9668,1000
2,GA_con_2opt,2085.00,2085.00,2085.00,0.00,9721,1000
3,GA_con_2opt,2085.00,2085.00,2085.00,0.00,13647,1000
4,GA_con_2opt,2085.00,2085.00,2085.00,0.00,14233,1000
5,GA_con_2opt,2085.00,2085.00,2085.00,0.00,10217,1000
6,GA_con_2opt,2085.00,2085.00,2085.00,0.00,9411,1000
7,GA_con_2opt,2085.00,2085.00,2085.00,0.00,9243,1000
8,GA_con_2opt,2085.00,2085.00,2085.00,0.00,10707,1000
9,GA_con_2opt,2085.00,2085.00,2085.00,0.00,13008,1000
10,GA_con_2opt,2085.00,2085.00,2085.00,0.00,14526,1000
